Code;Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.029257844;0.028426156;0.027640445;0.026897;0.0261925;0.025523963;0.024888705;0.0242843;0.023708555;0.023159477;0.027306979;0.026581129;0.025892867;0.025239348;0.024618006;0.024026521;0.023462791;0.022924909;0.022411136;0.021919886;0.023040322;0.022521421;0.022025378;0.021550716;0.02109608;0.02066023;0.020242025;0.019840415;0.019454431;0.019083179;0.018181492;0.017856828;0.017543556;0.017241086;0.016948869;0.016666393;0.016393177;0.016128776;0.015872767;0.015624759;0.01418218;0.013983858;0.013791007;0.013603402;0.013420833;0.0132431;0.013070012;0.012901391;0.012737065;0.012576873;0.010835493;0.010719343;0.010605658;0.010494358;0.01038537;0.010278623;0.010174048;0.010071579;0.009971154;0.009872711;0.008177643;0.008111312;0.008046048;0.007981826;0.007918621;0.007856409;0.007795167;0.007734872;0.007675503;0.007617038;0.00590956;0.005874842;0.00584053;0.005806616;0.005773094;0.005739957;0.005707198;0.005674811;0.005642789;0.005611126;0.003767371;0.003753231;0.003739197;0.003725267;0.003711441;0.003697717;0.003684095;0.003670572;0.003657148;0.003643822
AGO;Angola;0.03226745;0.031258808;0.030311313;0.029419567;0.028578791;0.027784737;0.027033615;0.026322036;0.025646955;0.025005637;0.026213231;0.025543649;0.024907423;0.02430212;0.023725539;0.023175683;0.022650737;0.022149045;0.021669095;0.021209504;0.019804142;0.019419554;0.019049619;0.018693515;0.01835048;0.018019808;0.017700842;0.017392972;0.017095628;0.01680828;0.015230031;0.015001556;0.014779836;0.014564574;0.014355492;0.014152329;0.013954835;0.013762778;0.013575935;0.013394098;0.011096273;0.010974497;0.010855365;0.010738792;0.010624695;0.010512998;0.010403625;0.010296504;0.010191566;0.010088746;0.007659132;0.007600915;0.007543577;0.007487098;0.007431458;0.007376638;0.007322622;0.007269391;0.007216928;0.007165218;0.004836636;0.004813356;0.004790298;0.004767461;0.00474484;0.004722433;0.004700236;0.004678247;0.004656463;0.004634881;0.002641307;0.002634348;0.002627427;0.002620542;0.002613692;0.002606879;0.002600101;0.002593358;0.002586649;0.002579976;0.000518898;0.000518629;0.00051836;0.000518091;0.000517823;0.000517555;0.000517287;0.00051702;0.000516753;0.000516486
ALB;Albania;0.00207404;0.002069747;0.002065472;0.002061215;0.002056975;0.002052752;0.002048547;0.002044359;0.002040188;0.002036034;0.000911784;0.000910954;0.000910125;0.000909297;0.000908471;0.000907647;0.000906823;0.000906002;0.000905182;0.000904363;-0.000792518;-0.000793147;-0.000793776;-0.000794407;-0.000795038;-0.000795671;-0.000796305;-0.000796939;-0.000797575;-0.000798211;-0.002226715;-0.002231684;-0.002236676;-0.00224169;-0.002246726;-0.002251785;-0.002256867;-0.002261972;-0.002267101;-0.002272252;-0.003326117;-0.003337217;-0.003348392;-0.003359641;-0.003370966;-0.003382368;-0.003393847;-0.003405405;-0.003417041;-0.003428758;-0.004955137;-0.004979813;-0.005004735;-0.005029909;-0.005055337;-0.005081023;-0.005106972;-0.005133187;-0.005159672;-0.005186432;-0.006805975;-0.006852614;-0.006899896;-0.006947836;-0.006996446;-0.007045741;-0.007095736;-0.007146445;-0.007197884;-0.00725007;-0.007941968;-0.008005548;-0.008070154;-0.008135811;-0.008202546;-0.008270384;-0.008339353;-0.008409483;-0.008480802;-0.008553341;-0.008130695;-0.008197345;-0.008265097;-0.008333978;-0.008404017;-0.008475243;-0.008547687;-0.00862138;-0.008696355;-0.008772645
ARE;Algeria;0.047009149;0.044898509;0.042969253;0.041198964;0.039568772;0.038062679;0.036667033;0.035370116;0.034161809;0.03303333;0.020969729;0.020539031;0.020125669;0.019728617;0.019346929;0.01897973;0.018626209;0.018285617;0.017957258;0.017640483;0.014960253;0.014739743;0.014525639;0.014317665;0.014115564;0.013919088;0.013728006;0.0135421;0.013361162;0.013184995;0.010146181;0.01004427;0.009944386;0.009846469;0.009750461;0.009656308;0.009563955;0.009473353;0.00938445;0.009297201;0.006195202;0.006157058;0.00611938;0.006082161;0.006045392;0.006009065;0.005973172;0.005937705;0.005902657;0.00586802;0.001869428;0.00186594;0.001862464;0.001859002;0.001855553;0.001852116;0.001848692;0.001845281;0.001841882;0.001838496;-0.001799915;-0.001803161;-0.001806418;-0.001809687;-0.001812968;-0.001816261;-0.001819566;-0.001822883;-0.001826212;-0.001829553;-0.003827374;-0.003842079;-0.003856898;-0.003871831;-0.00388688;-0.003902047;-0.003917333;-0.003932738;-0.003948266;-0.003963916;-0.005525256;-0.005555954;-0.005586996;-0.005618385;-0.00565013;-0.005682235;-0.005714708;-0.005747553;-0.005780779;-0.00581439
ARG;Argentina;0.007812357;0.007751797;0.007692169;0.007633452;0.007575623;0.007518665;0.007462556;0.007407279;0.007352815;0.007299145;0.00593489;0.005899875;0.005865271;0.00583107;0.005797266;0.005763851;0.00573082;0.005698164;0.005665879;0.005633958;0.004303267;0.004284828;0.004266547;0.004248421;0.004230448;0.004212627;0.004194955;0.004177431;0.004160052;0.004142818;0.002566363;0.002559793;0.002553258;0.002546755;0.002540286;0.002533849;0.002527445;0.002521073;0.002514733;0.002508425;0.000925647;0.000924791;0.000923937;0.000923084;0.000922232;0.000921383;0.000920535;0.000919688;0.000918843;0.000917999;-0.000342183;-0.0003423;-0.000342417;-0.000342535;-0.000342652;-0.000342769;-0.000342887;-0.000343005;-0.000343122;-0.00034324;-0.001532878;-0.001535232;-0.001537592;-0.00153996;-0.001542335;-0.001544718;-0.001547108;-0.001549505;-0.00155191;-0.001554322;-0.002192762;-0.002197581;-0.002202421;-0.002207282;-0.002212165;-0.00221707;-0.002221996;-0.002226944;-0.002231915;-0.002236907;-0.002623913;-0.002630816;-0.002637755;-0.002644732;-0.002651745;-0.002658795;-0.002665883;-0.002673009;-0.002680173;-0.002687376
ARM;Armenia;-0.001752492;-0.001755568;-0.001758656;-0.001761754;-0.001764863;-0.001767983;-0.001771115;-0.001774257;-0.001777411;-0.001780576;-0.003809056;-0.003823621;-0.003838297;-0.003853086;-0.00386799;-0.003883009;-0.003898146;-0.003913401;-0.003928776;-0.003944272;-0.004863519;-0.004887288;-0.004911291;-0.004935531;-0.004960011;-0.004984735;-0.005009707;-0.005034931;-0.00506041;-0.005086148;-0.00670597;-0.006751243;-0.006797133;-0.00684365;-0.006890808;-0.006938621;-0.006987102;-0.007036265;-0.007086124;-0.007136696;-0.007789201;-0.007850349;-0.007912465;-0.007975571;-0.008039692;-0.008104853;-0.008171078;-0.008238395;-0.00830683;-0.008376411;-0.00776242;-0.007823146;-0.007884831;-0.007947495;-0.008011164;-0.008075861;-0.008141612;-0.008208442;-0.008276378;-0.008345448;-0.008067917;-0.008133538;-0.008200234;-0.008268034;-0.008336965;-0.008407054;-0.008478332;-0.008550828;-0.008624576;-0.008699606;-0.007483698;-0.007540126;-0.007597411;-0.007655574;-0.007714634;-0.007774612;-0.00783553;-0.007897411;-0.007960276;-0.008024151;-0.005790689;-0.005824416;-0.005858538;-0.005893063;-0.005927997;-0.005963348;-0.005999123;-0.00603533;-0.006071976;-0.00610907
AUS;Australia;0.016700424;0.016426101;0.016160645;0.015903632;0.015654666;0.015413375;0.015179409;0.01495244;0.014732158;0.014518272;0.013755756;0.013569102;0.013387447;0.013210591;0.013038346;0.012870536;0.01270699;0.012547549;0.012392059;0.012240375;0.011148202;0.01102529;0.010905059;0.010787421;0.010672295;0.0105596;0.01044926;0.010341202;0.010235356;0.010131655;0.009663604;0.009571113;0.009480375;0.009391342;0.009303965;0.009218199;0.009134;0.009051325;0.008970134;0.008890386;0.008036596;0.007972524;0.007909466;0.007847397;0.007786295;0.007726137;0.007666902;0.007608567;0.007551114;0.007494522;0.005639716;0.005608088;0.005576812;0.005545884;0.005515297;0.005485045;0.005455124;0.005425527;0.005396249;0.005367286;0.00342153;0.003409863;0.003398276;0.003386767;0.003375335;0.003363981;0.003352702;0.003341499;0.003330371;0.003319316;0.001231156;0.001229642;0.001228132;0.001226626;0.001225123;0.001223624;0.001222128;0.001220637;0.001219148;0.001217664;-0.00110926;-0.001110491;-0.001111726;-0.001112963;-0.001114203;-0.001115446;-0.001116692;-0.00111794;-0.001119191;-0.001120445
AUT;Austria;0.003603815;0.003590874;0.003578026;0.00356527;0.003552604;0.003540027;0.00352754;0.00351514;0.003502827;0.0034906;0.002873197;0.002864966;0.002856781;0.002848643;0.002840551;0.002832505;0.002824505;0.00281655;0.002808639;0.002800773;0.001828274;0.001824937;0.001821613;0.001818301;0.001815;0.001811712;0.001808436;0.001805171;0.001801918;0.001798677;0.0011443;0.001142992;0.001141687;0.001140385;0.001139086;0.00113779;0.001136497;0.001135206;0.001133919;0.001132635;-2.94421E-06;-2.94422E-06;-2.94423E-06;-2.94423E-06;-2.94424E-06;-2.94425E-06;-2.94426E-06;-2.94427E-06;-2.94428E-06;-2.94429E-06;-0.001483935;-0.00148614;-0.001488352;-0.00149057;-0.001492796;-0.001495027;-0.001497266;-0.001499511;-0.001501763;-0.001504022;-0.002410111;-0.002415933;-0.002421784;-0.002427664;-0.002433572;-0.002439508;-0.002445474;-0.002451469;-0.002457493;-0.002463548;-0.003425172;-0.003436944;-0.003448797;-0.003460732;-0.003472751;-0.003484853;-0.003497039;-0.003509311;-0.00352167;-0.003534116;-0.004749137;-0.004771799;-0.004794679;-0.004817778;-0.004841102;-0.004864652;-0.004888433;-0.004912447;-0.004936698;-0.00496119
AZE;Azerbaijan;0.010281979;0.010177336;0.010074802;0.009974312;0.009875808;0.00977923;0.009684523;0.009591633;0.009500507;0.009411097;0.004888286;0.004864507;0.004840958;0.004817636;0.004794538;0.00477166;0.004748999;0.004726553;0.004704317;0.00468229;0.002844523;0.002836454;0.002828431;0.002820454;0.002812521;0.002804633;0.002796789;0.002788989;0.002781232;0.002773518;0.000575288;0.000574957;0.000574626;0.000574296;0.000573967;0.000573638;0.000573309;0.00057298;0.000572652;0.000572324;-0.001388663;-0.001390594;-0.001392531;-0.001394472;-0.00139642;-0.001398372;-0.001400331;-0.001402294;-0.001404263;-0.001406238;-0.002497456;-0.002503709;-0.002509994;-0.00251631;-0.002522657;-0.002529037;-0.002535449;-0.002541894;-0.002548372;-0.002554883;-0.003943758;-0.003959373;-0.003975112;-0.003990976;-0.004006968;-0.004023088;-0.004039339;-0.004055721;-0.004072237;-0.004088888;-0.00433113;-0.00434997;-0.004368975;-0.004388147;-0.004407487;-0.004426999;-0.004446685;-0.004466546;-0.004486585;-0.004506806;-0.004329712;-0.00434854;-0.004367532;-0.004386691;-0.004406019;-0.004425518;-0.00444519;-0.004465038;-0.004485064;-0.004505271
BDI;Burundi;0.029941973;0.029071514;0.028250237;0.027474087;0.026739446;0.026043068;0.025382042;0.024753742;0.024155795;0.023586055;0.020141012;0.019743361;0.019361108;0.018993375;0.018639351;0.018298283;0.017969472;0.01765227;0.017346073;0.017050317;0.015058497;0.014835103;0.01461824;0.014407626;0.014202994;0.014004094;0.013810688;0.013622551;0.013439471;0.013261247;0.011648452;0.011514328;0.011383257;0.011255137;0.011129869;0.011007358;0.010887516;0.010770254;0.010655492;0.010543149;0.007826584;0.007765805;0.007705962;0.007647034;0.007589;0.007531841;0.007475537;0.007420068;0.007365416;0.007311563;0.004479703;0.004459725;0.004439924;0.004420298;0.004400845;0.004381563;0.004362448;0.0043435;0.004324716;0.004306093;0.002038156;0.00203401;0.002029881;0.002025769;0.002021674;0.002017595;0.002013532;0.002009486;0.002005456;0.002001442;-0.000179734;-0.000179766;-0.000179799;-0.000179831;-0.000179863;-0.000179896;-0.000179928;-0.00017996;-0.000179993;-0.000180025;-0.001924247;-0.001927957;-0.001931681;-0.00193542;-0.001939173;-0.00194294;-0.001946723;-0.00195052;-0.001954332;-0.001958159
