Code;Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099
AFG;Afghanistan;0.132889326;0.117301243;0.104986228;0.095011345;0.086767453;0.061600021;0.058025641;0.054843322;0.051991913;0.04942235;0.047094814;0.044976647;0.043040815;0.041264747;0.039629448;0.069332779;0.064837421;0.060889503;0.057394764;0.05427941;0.051484843;0.048963942;0.046678384;0.044596683;0.042692729;0.074515192;0.069347732;0.064850497;0.060901035;0.05740501;0.054288574;0.051493088;0.048971399;0.046685162;0.04460287;0.076787723;0.071311848;0.066564977;0.062410616;0.058744345;0.05548492;0.052568178;0.049942778;0.047567142;0.045407249;0.073752668;0.068686831;0.064272179;0.060390735;0.056951398;0.053882703;0.051127799;0.048640897;0.046384703;0.044328537;0.068516444;0.064122966;0.060258981;0.05683421;0.053777792;0.051033332;0.048555388;0.046306937;0.044257508;0.042381795;0.062883983;0.059163544;0.055858742;0.052903613;0.050245447;0.047841624;0.045657304;0.043663736;0.041836977;0.040156932;0.056143147;0.053158653;0.050475447;0.048050097;0.045847137;0.043837321;0.041996315;0.040303708;0.038742252;0.037297272;0.049110306;0.046811385;0.04471807;0.04280396;0.041046986;0.039428563;0.037932922;0.036546603;0.035258041;0.034057249
AGO;Angola;0.156814607;0.13555725;0.119375091;0.106644406;0.096367365;0.075087652;0.069843284;0.065283659;0.061282887;0.057744159;0.054591801;0.051765812;0.049218002;0.046909224;0.044807346;0.02642502;0.025744716;0.02509856;0.024484046;0.023898904;0.023341078;0.022808698;0.022300063;0.021813618;0.021347942;0.01204142;0.011898149;0.011758248;0.011621598;0.011488088;0.011357611;0.011230064;0.011105351;0.010983376;0.010864052;0.032714607;0.031678265;0.030705566;0.029790822;0.028929003;0.028115645;0.027346773;0.026618834;0.025928644;0.02527334;0.049759404;0.04740077;0.045255619;0.043296222;0.041499452;0.039845871;0.038319016;0.036904858;0.035591364;0.034368154;0.053662372;0.050929381;0.048461278;0.046221333;0.044179307;0.042310077;0.040592601;0.039009119;0.03754454;0.036185955;0.049779528;0.047419031;0.045272264;0.043311456;0.041513448;0.039858773;0.038330949;0.036915926;0.035601658;0.034377753;0.043052088;0.041275109;0.039639004;0.038127662;0.036727334;0.035426224;0.034214146;0.033082264;0.032022875;0.03102923;0.036375738;0.035098986;0.033908821;0.032796723;0.031755255;0.030777895;0.029858901;0.028993196;0.028176275;0.027404129
ALB;Albania;0.056077204;0.053099531;0.050422139;0.048001786;0.045803153;0.024514158;0.023927593;0.023368442;0.022834828;0.02232504;0.021837516;0.02137083;0.020923674;0.020494846;0.020083243;0.027841764;0.027087598;0.026373211;0.025695537;0.025051817;0.024439562;0.023856519;0.023300647;0.022770089;0.022263155;0.023743953;0.023193254;0.02266752;0.022165093;0.021684455;0.021224219;0.020783114;0.02035997;0.019953713;0.019563352;0.020387607;0.019980257;0.019588866;0.019212515;0.018850352;0.018501591;0.0181655;0.017841402;0.017528666;0.017226705;0.016965896;0.016682857;0.016409106;0.016144194;0.0158877;0.015639229;0.015398409;0.015164894;0.014938356;0.014718486;0.014156874;0.013959255;0.013767077;0.013580118;0.013398169;0.013221032;0.013048517;0.012880446;0.01271665;0.012556968;0.011482539;0.011352187;0.011224762;0.011100165;0.010978304;0.01085909;0.010742437;0.010628263;0.010516491;0.010407046;0.008720944;0.008645546;0.008571442;0.008498596;0.008426979;0.008356558;0.008287305;0.00821919;0.008152186;0.008086265;0.007424786;0.007370065;0.007316144;0.007263007;0.007210636;0.007159015;0.007108128;0.007057959;0.007008494;0.006959716
ARE;Algeria;0.033880649;0.032770368;0.031730546;0.030754683;0.029837054;0.069424031;0.064917216;0.060959871;0.057457282;0.054335322;0.051535144;0.049009435;0.046719728;0.04463442;0.042727311;0.042944366;0.041176086;0.039547667;0.03804315;0.03664891;0.035353251;0.034146077;0.03301862;0.031963238;0.030973233;0.030296061;0.029405199;0.028565233;0.027771922;0.027021483;0.026310533;0.025636036;0.024995256;0.024385729;0.023805221;0.019643115;0.019264696;0.018900582;0.018549977;0.018212142;0.017886393;0.017572091;0.017268645;0.016975501;0.016692144;0.015636396;0.015395663;0.01516223;0.014935771;0.014715976;0.014502557;0.01429524;0.014093766;0.013897892;0.013707388;0.013207547;0.013035382;0.012867647;0.012704174;0.012544803;0.012389381;0.012237762;0.01208981;0.011945392;0.011804384;0.00893504;0.008855912;0.008778174;0.008701788;0.00862672;0.008552936;0.008480404;0.008409091;0.008338968;0.008270005;0.005488802;0.00545884;0.005429202;0.005399885;0.005370883;0.005342191;0.005313804;0.005285716;0.005257924;0.005230423;0.002707008;0.002699699;0.002692431;0.002685201;0.00267801;0.002670857;0.002663743;0.002656666;0.002649627;0.002642625
ARG;Argentina;0.077021064;0.071513053;0.066740254;0.062564672;0.058880813;0.04944894;0.047118958;0.044998667;0.043060981;0.041283282;0.039646543;0.038134636;0.036733806;0.035432245;0.034219762;0.038132694;0.036732003;0.035430568;0.034218197;0.033086052;0.032026424;0.031032562;0.030098528;0.029219077;0.02838956;0.029691852;0.028835667;0.028027476;0.027263353;0.02653979;0.025853639;0.025202074;0.024582543;0.02399274;0.023430577;0.022996406;0.022479459;0.021985243;0.02151229;0.021059257;0.020624912;0.020208121;0.019807842;0.019423112;0.019053043;0.019712581;0.019331507;0.018964888;0.018611915;0.018271841;0.017943971;0.017627661;0.017322309;0.017027356;0.016742279;0.016751364;0.016475379;0.016208341;0.015949821;0.015699418;0.015456756;0.015221481;0.014993261;0.014771784;0.014556755;0.013865383;0.013675763;0.01349126;0.013311669;0.013136796;0.012966458;0.012800481;0.0126387;0.012480957;0.012327103;0.012141096;0.011995458;0.011853273;0.011714419;0.01157878;0.011446247;0.011316713;0.011190078;0.011066246;0.010945124;0.010716369;0.010602746;0.010491507;0.010382579;0.010275888;0.010171369;0.010068953;0.00996858;0.009870189;0.00977372
ARM;Armenia;0.041309021;0.039670281;0.038156598;0.036754183;0.035451203;0.04204448;0.040348066;0.038783238;0.037335255;0.035991503;0.034741118;0.033574696;0.032484054;0.031462039;0.030502372;0.034617172;0.033458918;0.032375664;0.031360352;0.030406784;0.029509495;0.028663646;0.027864935;0.02710953;0.026394001;0.027430544;0.026698198;0.026003939;0.025344873;0.024718388;0.024122128;0.023553957;0.023011934;0.022494297;0.021999435;0.018153996;0.017830305;0.017517954;0.017216359;0.016924973;0.016643285;0.016370821;0.016107134;0.015851807;0.015604448;0.013212305;0.013040016;0.012872163;0.012708576;0.012549095;0.012393567;0.012241847;0.012093796;0.011949284;0.011808185;0.013261794;0.013088221;0.012919132;0.012754357;0.012593732;0.012437102;0.012284321;0.012135248;0.011989749;0.011847698;0.010370039;0.010263605;0.010159334;0.01005716;0.009957021;0.009858856;0.009762608;0.009668221;0.009575641;0.009484818;0.010555385;0.010445132;0.010337159;0.010231396;0.010127774;0.010026231;0.009926704;0.009829133;0.009733461;0.009639634;0.011040464;0.010919903;0.010801947;0.010686512;0.010573518;0.010462888;0.01035455;0.010248432;0.010144467;0.01004259
AUS;Australia;0.028638923;0.02784157;0.027087414;0.026373037;0.025695372;0.03946955;0.037970857;0.036581814;0.035290812;0.034087825;0.032964149;0.031912191;0.030925297;0.029997612;0.029123962;0.029329048;0.028493365;0.027703985;0.026957164;0.026249551;0.025578136;0.024940212;0.024333334;0.023755288;0.023204069;0.023143273;0.022619778;0.022119441;0.021640759;0.021182357;0.020742972;0.020321445;0.019916709;0.01952778;0.019153749;0.020608391;0.020192261;0.019792603;0.019408459;0.019038943;0.018683234;0.018340573;0.018010254;0.017691624;0.017384071;0.0184047;0.018072089;0.017751286;0.017441674;0.017142677;0.016853758;0.016574417;0.016304185;0.016042623;0.015789321;0.017648147;0.017342092;0.01704647;0.016760758;0.016484466;0.016217135;0.015958337;0.015707669;0.015464753;0.015229237;0.014986404;0.014765128;0.014550291;0.014341617;0.014138843;0.013941723;0.013750024;0.013563525;0.013382018;0.013205304;0.012393345;0.01224163;0.012093585;0.011949077;0.011807983;0.011670182;0.01153556;0.011404008;0.011275423;0.011149705;0.010717926;0.01060427;0.010493;0.01038404;0.01027732;0.010172771;0.010070328;0.009969927;0.009871509;0.009775015
AUT;Austria;0.014645186;0.014433801;0.01422843;0.014028822;0.013834737;0.021631127;0.021173128;0.020734122;0.020312951;0.019908549;0.019519936;0.019146203;0.018786513;0.018440088;0.018106208;0.015989775;0.015738126;0.015494275;0.015257865;0.015028561;0.014806048;0.014590027;0.014380219;0.01417636;0.0139782;0.016066094;0.015812056;0.015565927;0.015327343;0.015095962;0.014871463;0.014653543;0.014441918;0.014236318;0.01403649;0.015473822;0.015238032;0.015009319;0.014787371;0.014571891;0.014362601;0.014159237;0.013961552;0.013769311;0.013582292;0.013428079;0.013250155;0.013076884;0.012908086;0.012743591;0.012583235;0.012426865;0.012274334;0.012125501;0.011980235;0.012404012;0.012252037;0.012103742;0.011958993;0.011817666;0.01167964;0.0115448;0.011413039;0.011284252;0.011158338;0.010733654;0.010619666;0.010508074;0.010398803;0.01029178;0.010186939;0.010084211;0.009983535;0.00988485;0.009788096;0.00877417;0.008697854;0.008622853;0.008549136;0.008476667;0.008405417;0.008335355;0.008266451;0.008198678;0.008132006;0.007383797;0.007329676;0.007276343;0.00722378;0.007171971;0.0071209;0.007070552;0.00702091;0.006971961;0.006923689
AZE;Azerbaijan;0.227743765;0.185497798;0.156472495;0.135301527;0.119176733;0.031051105;0.030115971;0.029235515;0.028405078;0.027620515;0.026878128;0.026174603;0.025506968;0.024872545;0.024268916;0.019339404;0.018972487;0.018619234;0.018278895;0.017950775;0.017634227;0.01732865;0.017033482;0.016748202;0.01647232;0.008422804;0.008352453;0.008283267;0.008215219;0.008148279;0.008082421;0.008017619;0.007953848;0.007891084;0.007829302;0.013528702;0.01334812;0.013172294;0.013001041;0.012834183;0.012671554;0.012512995;0.012358355;0.01220749;0.012060265;0.018268135;0.017940398;0.017624212;0.017318979;0.017024138;0.016739168;0.016463582;0.016196922;0.015938763;0.015688705;0.023721194;0.023171537;0.022646776;0.022145258;0.02166547;0.021206032;0.020765674;0.020343233;0.019937637;0.019547898;0.019290126;0.018925059;0.018573554;0.018234867;0.017908312;0.017593246;0.017289075;0.016995243;0.016711232;0.016436557;0.018868474;0.018519048;0.018182329;0.017857635;0.017544335;0.017241838;0.016949596;0.016667096;0.016393858;0.016129434;0.018405989;0.018073332;0.017752485;0.017442831;0.017143795;0.016854839;0.016575462;0.016305196;0.016043602;0.015790269
BDI;Burundi;0.049162645;0.046858936;0.044761462;0.042843714;0.041083543;0.082501709;0.076213929;0.07081671;0.066133363;0.062031041;0.058407936;0.055184711;0.052298626;0.049699415;0.04734633;0.097315855;0.088685363;0.081460968;0.075324926;0.070048526;0.065462944;0.061440845;0.05788438;0.054717114;0.051878473;0.098177792;0.089400635;0.082064056;0.075840294;0.070494008;0.065851847;0.061783303;0.058188241;0.054988554;0.052122417;0.092184407;0.084403702;0.077834207;0.072213524;0.067349947;0.063100155;0.059354855;0.056029247;0.053056529;0.050383363;0.081867566;0.075672447;0.070348968;0.065725264;0.061671864;0.058089384;0.054900261;0.052043083;0.049468585;0.047136794;0.07162509;0.066837825;0.062650408;0.058956744;0.055674365;0.052738199;0.050096215;0.047706309;0.045534048;0.043550995;0.059295332;0.055976205;0.053008964;0.050340468;0.047927762;0.04573575;0.043735475;0.041902835;0.040217603;0.038662683;0.04853291;0.046286492;0.044238832;0.042364668;0.040642847;0.03905552;0.03758752;0.036225879;0.034959442;0.033778563;0.040497662;0.038921435;0.037463309;0.03611049;0.034851969;0.033678217;0.032580948;0.031552924;0.03058779;0.029679946
